run_id,timestamp,tier,model,label,endpoint,topology,parallelism,context,batch,spec_decode,workload,metric,value,unit,notes
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:07,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,golden_gate,PASS,,golden gate PASSED: 73/73 cases
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:07,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,grader_git,700df0a,,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:07,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,served_model,Ternary-Bonsai-2-27B,,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,preflight_tool_probe,PASS,,get_weather
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,request_policy,uncapped,,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,request_timeout,120,s,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,runaway_char_window,4096,characters,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,runaway_phrase_window,8192,characters,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T18:28:10,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,runaway_abort_backend,disconnect,,
Bonsai2-27B-Ternary-PQ2_0-Mac-20260917-20260917-182721,2026-09-17T19:25:08,eval,Ternary-Bonsai-2-27B,Bonsai2-27B-Ternary-PQ2_0-Mac-20260917,http://localhost:8091/v1,Mac-Studio-M3U-llama.cpp-prism-Metal,1,,,none,provenance,quarantine,clean,,
